source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp
2013561040088857344,345.59819621766337,0.2898956,59.46879163377863,0.27298513,0.1502605790637836,0.35046163,3.1691434,-3.119746295516346,0.34919918,-0.5573621205759871,0.37088925,-0.09653819,-0.12969331,-0.13114224,19.992477,20.968523,18.91784,2.050684
2013561040096696320,345.59143959796995,0.009437788,59.47785127188856,0.009213401,1.8436242548809565,0.010969143,4.1615067,1.7762332596782795,0.011794469,-3.763393638192992,0.011926692,-0.01635836,-0.0036814767,-0.2358143,9.209084,10.078292,8.297698,1.7805939
2013561040096698240,345.60627272783694,0.03554315,59.4772196664535,0.03348764,0.480401700846901,0.041689157,10.352614,-2.302286902650064,0.042912897,-10.093368703098172,0.04252254,-0.06270791,0.018432228,-0.1072631,16.490828,17.043568,15.780358,1.2632093
2013561040096698496,345.5964079863783,0.025700312,59.47317335893408,0.023997106,0.3283084885396646,0.029515818,3.7153778,-3.0246111282979684,0.03128795,-2.157720933712092,0.031452823,-0.0038329817,0.027566487,-0.14817707,15.72962,16.062664,15.214781,0.8478832
2013561040096699904,345.5987931927482,0.02124595,59.47017432149698,0.020001367,0.4067322279588797,0.024319466,0.935036,-0.3729886051797786,0.025828188,0.8574216125013941,0.026081264,-0.11634661,-0.0039021648,-0.22007912,15.4324045,15.912976,14.77749,1.1354866
2013561070157486592,345.6304495480049,0.3964938,59.46742222683422,0.40044788,0.9887176838210268,0.50137794,2.0987086,-1.5171219382333996,0.46382925,-1.4501444830776389,0.53582966,-0.12195224,-0.13211866,-0.13350986,20.181892,20.879818,19.017004,1.862814
2013561070157497216,345.62498863268735,0.094625555,59.47101331521434,0.08801866,0.3576747350991667,0.11049682,3.5598946,3.402194349191251,0.11061597,1.0478185499782826,0.11465455,-0.1361355,0.04308448,-0.10462335,18.265669,18.89364,17.543598,1.3500423
2013561070157531136,345.6434157304456,0.07078846,59.48094607641893,0.068214,1.188790346545329,0.08570523,1.4366736,0.4088093085428536,0.083916776,-1.3772821514709337,0.08767905,-0.07839096,0.06130729,-0.09295741,17.838184,18.880121,16.855364,2.0247574
2013561070157533696,345.6309048035,0.08049232,59.47920152249513,0.08010423,0.2992585492327646,0.09591165,3.7954571,-2.932678827740126,0.09540424,-2.409333800974203,0.10591345,-0.14240807,0.07762255,-0.12726589,18.075052,18.907696,17.179293,1.7284031
2013561070157539584,345.6424200486103,0.08017712,59.48458014306831,0.0781507,0.2449993628406548,0.095809735,1.8753345,-1.8550039843682469,0.09493754,0.275390413829775,0.10063504,-0.1361146,0.004294794,-0.15444113,18.114777,18.820036,17.287073,1.5329628
2013561070157792512,345.6454559046003,0.19524023,59.47984255420517,0.1846211,0.2675474109973224,0.23287812,3.6076896,-2.905395560309907,0.23143467,-2.1387149071347658,0.2424358,-0.046572834,-0.006315584,-0.051785216,19.422655,20.293844,18.529408,1.7644367
