source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,phot_g_mean_mag,bp_rp,dist
2013546261109759744,345.5841940756466,0.29314774,59.33969591243783,0.2695494,0.2410836850201087,0.35781148,3.6509478,-3.206255137667977,0.3705584,-1.746238079976562,0.34749645,-0.15608712,-0.11341004,-0.13445297,19.840265,2.07127,13.099476521916355
2013546329829311872,345.5959532056736,0.17890604,59.35808761145193,0.16073298,0.1745769174710233,0.2052387,2.375615,-2.022604130886388,0.21362704,-1.2460410105607194,0.19554082,-0.1585711,-0.09739412,-0.001893143,19.152025,1.6623592,11.80618113567713
2013546334128429696,345.59872319273734,0.10554095,59.35960743400406,0.09318393,0.2699768928777158,0.11947431,3.8162847,-3.170185488357365,0.12629417,-2.124606313470555,0.11435059,-0.22692257,-0.04956117,-0.037274174,18.183266,1.6109962,11.657881446885021
2013546364193351680,345.5106945514432,0.12595375,59.33690912277548,0.11316552,0.327950799940602,0.14760377,3.1317809,-2.773338817105621,0.15789787,-1.454868716329226,0.14490883,-0.23854475,-0.06800462,-0.04721889,18.730566,1.8979816,15.556149010874043
2013546398553247488,345.54105606110363,0.10016329,59.34749288145743,0.09213548,0.2087712180159559,0.11758678,3.064977,-2.854547260619402,0.12676334,-1.1160841823003853,0.11789213,-0.19997409,0.03811878,-0.068909034,18.380613,1.6591454,13.958914258023517
2013546432908488192,345.5049342748889,0.09762029,59.35041653988377,0.08588165,0.1309968862290252,0.11234721,3.1714509,-2.835704390800672,0.123563364,-1.420169167264357,0.10980686,-0.1945636,0.05415096,-0.07882003,18.236061,1.9002686,15.159854509468083
2013546471567355264,345.5285044435985,0.022808332,59.36851478284737,0.021955492,0.1656850639255483,0.026399486,2.5908144,-2.339408929514194,0.028982123,-1.1133213013672276,0.027875276,-0.090849414,-0.034963563,-0.24879505,15.367901,3.2388496,13.412777203622776
2013546535987799552,345.5799403095052,0.26502225,59.36531913894636,0.24530476,0.1417781701064307,0.31311515,2.1820564,-1.9760375879661,0.32802874,-0.9255514723625538,0.2980432,-0.19587016,0.022503067,-0.03954824,19.323812,1.8717804,11.829326771175117
2013546570347528192,345.56400217358726,0.0732108,59.36944551923464,0.0709908,0.2240766923046615,0.08823526,4.023651,-3.465904448325675,0.088902175,-2.043838344958956,0.08589537,-0.15231757,0.05551338,-0.15956189,17.776108,1.5593319,12.0997848496749
2013546604707316352,345.57336491028326,0.09621966,59.38202859812184,0.0896567,0.1908559118500448,0.11379519,3.132455,-2.5284976342049568,0.11482578,-1.8490471320080075,0.110242896,-0.15280242,0.0049984315,-0.09984525,18.270233,1.6963482,11.161197244511781
2013546677725866496,345.6568193487979,0.033956997,59.32221538676419,0.032521397,0.2788337178904226,0.042174798,3.2424371,-2.6397711253829184,0.0453948,-1.88281897372444,0.04193334,-0.22687997,-0.009389492,-0.13176902,16.32877,2.6687737,13.055053153125234
2013546707786309888,345.632357024016,0.13506028,59.32108097605033,0.13495383,0.1723321780631576,0.16784182,3.0000892,-2.2733887551788854,0.17345922,-1.9576103460419745,0.16881008,-0.19156744,-0.04143505,-0.10411092,18.750952,1.7641182,13.311265866830682
2013546742146110720,345.6778597199515,0.27144206,59.34153807249992,0.23544195,0.3472849830399693,0.31457984,2.8353074,-2.602142640133423,0.34237406,-1.125975782515461,0.30041337,-0.090019085,-0.085423134,-0.08236666,19.725664,1.809475,11.863996690897313
