ug,gr,ri,iz
2.306339,1.007559,0.3823252,0.2376728
1.807373,0.4267111,0.1712036,0.1161118
1.711855,0.7966194,0.3439732,0.1745663
2.074137,0.7991028,0.3938026,0.3345318
3.041382,1.786846,0.9181299,0.6613379
1.026919,-0.2921638,0.1493702,0.9797583
1.308788,0.07920742,-0.01419926,-0.009951591
1.575586,0.6981602,0.0843811,0.3580275
1.697161,0.740572,0.2995071,0.1394367
1.414467,-1.296237,-0.1503468,2.009099
1.686703,0.705183,0.285429,0.1568756
1.574858,0.6981258,0.2930555,0.1993876
1.80559,0.9062614,0.3661652,0.2655754
2.481781,1.200486,0.5348215,0.3691511
1.724577,0.9168758,0.4208946,0.2151451
1.381123,0.5360117,0.2041245,0.1385517
1.790562,0.8533478,0.3316822,0.2352238
1.448032,0.6184826,0.2825661,0.1478271
1.574318,0.8371525,0.3635855,0.2314024
2.379015,1.127623,0.4255753,0.2828465
1.912903,0.8476534,0.4826479,0.246973
1.743073,0.8382034,0.3764114,0.2274895
1.580299,0.6890545,0.3039169,0.1807013
1.406916,0.7943039,0.4304085,0.3461885
1.675076,0.686903,0.2828655,0.228714
1.518803,0.5159826,-0.6890173,1.024197
1.598483,0.6619415,0.2682581,0.1488752
1.297049,0.5903091,0.3446903,0.2243681
1.558466,0.5686874,0.2952576,0.2824717
2.821329,1.572445,0.8052607,0.5119953
1.659937,0.7858582,0.3489647,0.2111111
2.444391,1.127098,0.4359837,0.2987661
2.886671,1.875655,0.977623,0.753727
1.972141,1.058989,0.4770145,0.3384514
1.530128,0.8218164,0.3704176,0.2167521
1.809958,0.9334564,0.4306602,0.269968
1.855846,0.8888779,0.4032211,0.2769661
1.472111,0.7763977,0.3636208,0.2324972
2.13953,0.9610481,0.5030785,0.3979874
2.481452,0.7885981,-0.5342932,2.627264
1.637899,0.8001041,0.3498955,0.2056122
1.936419,1.005857,0.451786,0.312314
1.479216,0.6699924,0.2920341,0.1697922
1.536053,0.6984606,0.3131237,0.1360235
1.438305,0.6531944,0.2892103,0.1691856
1.633369,0.7464581,0.3300724,0.2154217
0.06317711,0.3789177,0.4896002,0.8542671
1.525871,0.7877369,0.3325901,0.2464085
2.059587,0.9097691,0.4951725,0.492445
1.994291,0.7539034,0.3916874,0.3479681
2.02779,0.9615498,0.411253,0.2626867
1.978563,0.2461634,-1.553142,1.013556
2.722366,0.9035959,0.4030848,0.07618809
1.647488,0.8045845,0.4357758,0.3236351
1.630681,0.4887304,0.2266636,0.1316748
1.9746,0.7019711,0.3684063,0.2700415
2.627369,1.244038,0.5465746,0.3660002
3.584402,0.9045963,0.3498573,0.2038326
1.8297,0.6099358,0.3689709,0.2914791
5.730572,1.148658,-0.6306362,0.9832687
1.723316,0.8015079,0.2435455,0.1884909
1.937687,0.7481079,0.3853588,0.3659105
1.48176,0.6728716,0.2714796,0.1379156
1.469917,0.6430035,0.2627678,0.1529388
1.52857,0.6664391,0.2840824,0.1557503
1.919916,0.8092766,0.3960876,0.2420406
1.675714,0.7706585,0.3481922,0.2618446
1.782482,0.8782997,0.3749352,0.2682905
2.203818,1.089968,0.4987392,0.2952881
1.697273,0.8600426,0.3818407,0.2491093
2.233547,1.000933,0.5251942,0.4622011
1.571785,0.7206841,0.2916298,0.1962643
2.635578,0.08502674,-0.04617214,-1.424733
2.052641,0.9910259,0.5492516,0.5193357
1.790363,0.872097,0.4645805,0.3712187
1.606134,0.7841682,0.3314066,0.1960974
1.831432,0.8742199,0.3599672,0.2075176
1.621655,0.2433605,0.06386375,0.04098415
1.676542,0.7203045,0.376318,0.3217983
1.485998,0.694746,0.2542953,0.4485092
2.01535,0.7789555,0.4010277,0.3705912
1.578975,0.6376057,0.2424488,0.1023197
2.750538,1.456251,0.9199553,0.6604614
1.649237,0.7731171,0.2328625,0.2630844
2.938967,1.736768,0.9149132,0.6670675
1.988334,0.7101984,0.3717117,0.3303719
2.442659,1.098035,0.4057875,0.2232571
2.684172,1.541901,0.6891174,0.3970737
1.726513,0.7891655,0.3592072,0.2170296
1.52223,0.7274094,0.3288689,0.2080746
2.442071,-0.3463278,0.04009533,2.270737
1.59845,0.6984129,0.2892561,0.166008
2.242189,0.9203625,0.3842697,0.3084679
2.249945,1.114553,0.4693871,0.2632313
1.615831,0.7540283,0.3260508,0.2320013
1.477009,0.6759748,0.3269682,0.1293373
2.251312,1.040476,0.4397383,0.2554979
1.520878,0.7774506,0.35532,0.2074528
1.581207,0.8307323,0.3461876,0.2312889
